timestamp,electric_load_kw,heat_load_kw,cooling_load_kw,pv_kw,wind_kw,buy_price_cny_per_kwh,sell_price_cny_per_kwh
2025-01-01 00:00:00,312.017722,296.277108,157.541609,0.000000,91.534085,0.350000,0.250000
2025-01-01 01:00:00,299.217397,305.583366,166.325539,0.000000,110.980360,0.350000,0.250000
2025-01-01 02:00:00,303.804676,329.304040,176.889965,0.000000,116.925009,0.350000,0.250000
2025-01-01 03:00:00,291.505717,338.492389,172.750483,0.000000,113.648651,0.350000,0.250000
2025-01-01 04:00:00,317.682804,337.255760,169.723268,0.000000,135.358853,0.350000,0.250000
2025-01-01 05:00:00,307.397637,344.190707,176.596458,0.000000,128.589682,0.350000,0.250000
2025-01-01 06:00:00,296.865395,331.981814,178.077726,0.000000,133.632631,0.350000,0.250000
2025-01-01 07:00:00,320.939486,324.868937,223.169122,59.790286,139.984513,0.650000,0.250000
2025-01-01 08:00:00,349.135532,322.143401,260.658322,112.835522,139.428289,0.650000,0.250000
2025-01-01 09:00:00,382.217618,311.149084,296.125985,172.225977,129.395264,0.650000,0.250000
2025-01-01 10:00:00,379.246566,286.195220,319.339113,204.151901,109.198293,0.650000,0.250000
2025-01-01 11:00:00,425.482823,263.620055,348.146068,227.580356,97.628237,0.650000,0.250000
2025-01-01 12:00:00,413.184026,257.030596,351.989593,226.231675,85.815299,0.650000,0.250000
2025-01-01 13:00:00,401.995306,242.239439,338.869407,237.569508,64.753696,0.650000,0.250000
2025-01-01 14:00:00,385.699008,224.784583,324.241500,207.047725,62.372968,0.650000,0.250000
2025-01-01 15:00:00,381.436948,214.633344,293.110580,172.913569,50.237084,0.650000,0.250000
2025-01-01 16:00:00,352.765003,199.547508,250.158118,115.949626,45.396029,0.650000,0.250000
2025-01-01 17:00:00,331.171293,204.050534,221.536629,59.873922,45.351512,1.050000,0.250000
2025-01-01 18:00:00,297.932728,201.963665,159.651215,0.000000,29.127605,1.050000,0.250000
2025-01-01 19:00:00,291.045346,212.826815,165.906058,0.000000,62.124077,1.050000,0.250000
2025-01-01 20:00:00,298.737140,226.707422,165.680949,0.000000,39.628592,1.050000,0.250000
2025-01-01 21:00:00,298.943911,242.098097,159.331327,0.000000,61.033022,1.050000,0.250000
2025-01-01 22:00:00,295.882509,240.772355,173.726926,0.000000,70.292115,0.650000,0.250000
2025-01-01 23:00:00,303.274534,283.360935,171.235045,0.000000,80.504451,0.350000,0.250000
2025-01-02 00:00:00,251.516926,232.985809,149.703903,0.000000,93.969839,0.350000,0.250000
2025-01-02 01:00:00,230.376679,240.533323,126.983991,0.000000,109.833328,0.350000,0.250000
2025-01-02 02:00:00,223.845915,247.137881,140.505591,0.000000,145.780576,0.350000,0.250000
2025-01-02 03:00:00,276.461940,267.487001,130.081175,0.000000,132.183681,0.350000,0.250000
2025-01-02 04:00:00,231.740297,266.449433,133.100706,0.000000,146.258425,0.350000,0.250000
2025-01-02 05:00:00,243.380173,270.413461,129.712250,0.000000,129.164305,0.350000,0.250000
2025-01-02 06:00:00,240.850200,283.915730,139.039677,0.000000,127.475115,0.350000,0.250000
2025-01-02 07:00:00,249.599000,256.450792,167.912048,61.015357,119.114503,0.650000,0.250000
2025-01-02 08:00:00,294.681674,248.039096,214.448805,116.392404,119.940150,0.650000,0.250000
2025-01-02 09:00:00,301.993287,238.413500,239.145012,158.166865,97.792731,0.650000,0.250000
2025-01-02 10:00:00,300.853667,231.511544,270.139534,220.821027,100.223197,0.650000,0.250000
2025-01-02 11:00:00,328.235086,226.069077,273.047871,238.104139,103.275465,0.650000,0.250000
2025-01-02 12:00:00,332.889093,213.397333,277.460836,256.685076,61.935233,0.650000,0.250000
2025-01-02 13:00:00,344.616307,201.379651,269.856657,220.862230,85.037332,0.650000,0.250000
2025-01-02 14:00:00,302.904370,168.821797,262.653418,223.417825,58.118732,0.650000,0.250000
2025-01-02 15:00:00,300.521122,169.770997,246.836289,160.440933,58.756122,0.650000,0.250000
2025-01-02 16:00:00,260.017738,161.080088,200.250378,121.761562,35.995509,0.650000,0.250000
2025-01-02 17:00:00,259.808844,166.886807,163.102715,58.718136,39.189967,1.050000,0.250000
2025-01-02 18:00:00,237.563513,169.491898,142.302404,0.000000,44.679270,1.050000,0.250000
2025-01-02 19:00:00,233.144279,165.279530,139.937455,0.000000,38.016200,1.050000,0.250000
2025-01-02 20:00:00,242.581468,177.805440,158.137273,0.000000,47.941275,1.050000,0.250000
2025-01-02 21:00:00,238.046990,175.882789,133.271824,0.000000,81.970243,1.050000,0.250000
2025-01-02 22:00:00,232.746585,195.878114,120.819168,0.000000,65.604170,0.650000,0.250000
2025-01-02 23:00:00,235.142317,208.606177,137.243380,0.000000,72.395457,0.350000,0.250000
2025-01-03 00:00:00,245.657096,261.333867,171.136836,0.000000,108.081013,0.350000,0.250000
2025-01-03 01:00:00,262.917190,274.958984,140.001442,0.000000,131.147856,0.350000,0.250000
2025-01-03 02:00:00,264.035716,270.563725,146.825715,0.000000,126.113058,0.350000,0.250000
2025-01-03 03:00:00,255.621873,284.978619,143.453681,0.000000,145.619252,0.350000,0.250000
2025-01-03 04:00:00,260.683675,291.937616,148.321542,0.000000,126.341304,0.350000,0.250000
2025-01-03 05:00:00,262.616454,290.392546,164.641645,0.000000,138.096821,0.350000,0.250000
2025-01-03 06:00:00,249.661837,280.224273,157.425443,0.000000,134.732864,0.350000,0.250000
2025-01-03 07:00:00,261.807478,290.540768,189.810041,57.431271,116.161507,0.650000,0.250000
2025-01-03 08:00:00,308.200723,273.992707,219.507079,97.516108,109.476271,0.650000,0.250000
2025-01-03 09:00:00,326.010821,272.901339,231.941507,143.540839,103.765006,0.650000,0.250000
2025-01-03 10:00:00,342.421671,243.663242,261.924477,176.676454,110.728203,0.650000,0.250000
2025-01-03 11:00:00,329.697721,237.998591,288.124952,195.907681,65.718361,0.650000,0.250000
2025-01-03 12:00:00,347.240236,225.937733,300.453840,206.043780,81.628943,0.650000,0.250000
2025-01-03 13:00:00,353.373098,214.998008,294.265099,208.956835,54.621343,0.650000,0.250000
2025-01-03 14:00:00,339.668293,183.023571,283.894923,170.771036,60.417061,0.650000,0.250000
2025-01-03 15:00:00,321.892258,188.424651,258.481727,151.198329,55.302634,0.650000,0.250000
2025-01-03 16:00:00,286.171634,172.516745,212.468391,108.108259,63.134741,0.650000,0.250000
2025-01-03 17:00:00,290.392916,165.413652,178.064939,51.455852,31.934616,1.050000,0.250000
2025-01-03 18:00:00,250.764840,175.548446,157.138795,0.000000,23.533383,1.050000,0.250000
2025-01-03 19:00:00,262.470924,179.630943,151.207421,0.000000,33.421336,1.050000,0.250000
2025-01-03 20:00:00,251.725282,193.330212,135.243544,0.000000,71.920279,1.050000,0.250000
2025-01-03 21:00:00,268.977531,196.478982,154.406409,0.000000,81.147679,1.050000,0.250000
2025-01-03 22:00:00,261.631334,217.700122,140.989537,0.000000,88.169730,0.650000,0.250000
2025-01-03 23:00:00,263.419250,239.086561,139.428010,0.000000,119.424324,0.350000,0.250000
2025-01-04 00:00:00,286.879092,277.820254,162.635076,0.000000,132.101333,0.350000,0.250000
2025-01-04 01:00:00,294.553258,291.424094,181.164892,0.000000,104.928876,0.350000,0.250000
2025-01-04 02:00:00,303.702470,297.005524,163.406711,0.000000,114.239548,0.350000,0.250000
2025-01-04 03:00:00,269.431651,298.350828,156.190577,0.000000,141.290254,0.350000,0.250000
2025-01-04 04:00:00,287.766708,306.455685,144.062840,0.000000,127.805350,0.350000,0.250000
2025-01-04 05:00:00,289.964047,325.623474,163.649599,0.000000,131.721680,0.350000,0.250000
2025-01-04 06:00:00,290.812194,312.120426,161.106776,0.000000,131.666147,0.350000,0.250000
2025-01-04 07:00:00,306.019896,315.330389,202.486354,71.431610,122.454229,0.650000,0.250000
2025-01-04 08:00:00,311.329589,290.295341,231.958018,157.388575,93.507684,0.650000,0.250000
2025-01-04 09:00:00,365.279455,284.712090,279.061717,217.664742,105.932234,0.650000,0.250000
2025-01-04 10:00:00,371.601103,281.893859,304.047625,272.673554,71.220339,0.650000,0.250000
2025-01-04 11:00:00,364.813183,246.869409,316.684660,297.858665,88.149238,0.650000,0.250000
2025-01-04 12:00:00,369.455031,240.026407,316.762983,277.687306,56.607155,0.650000,0.250000
2025-01-04 13:00:00,360.608751,228.384173,314.708787,274.492565,38.191828,0.650000,0.250000
2025-01-04 14:00:00,364.579359,210.704963,301.796657,261.580639,50.876400,0.650000,0.250000
2025-01-04 15:00:00,372.134188,194.045619,265.664534,217.718529,41.022142,0.650000,0.250000
2025-01-04 16:00:00,348.621423,193.258164,242.766400,147.154575,69.945489,0.650000,0.250000
2025-01-04 17:00:00,335.668557,188.496164,205.894589,74.991335,40.880924,1.050000,0.250000
2025-01-04 18:00:00,288.448262,189.984245,165.054933,0.000000,39.105385,1.050000,0.250000
2025-01-04 19:00:00,259.575616,187.848836,158.874265,0.000000,90.746774,1.050000,0.250000
2025-01-04 20:00:00,297.723338,199.585111,165.325335,0.000000,74.940777,1.050000,0.250000
2025-01-04 21:00:00,286.675325,225.911166,159.829599,0.000000,76.296741,1.050000,0.250000
2025-01-04 22:00:00,284.527486,257.665177,164.328305,0.000000,102.745099,0.650000,0.250000
2025-01-04 23:00:00,291.420743,253.520214,161.180406,0.000000,117.663616,0.350000,0.250000
2025-01-05 00:00:00,315.689949,299.154356,184.876649,0.000000,125.536158,0.350000,0.250000
2025-01-05 01:00:00,313.787705,308.623771,183.678730,0.000000,129.439374,0.350000,0.250000
2025-01-05 02:00:00,284.450374,313.957156,187.105251,0.000000,126.366237,0.350000,0.250000
2025-01-05 03:00:00,290.310077,313.576641,171.846389,0.000000,138.685273,0.350000,0.250000
2025-01-05 04:00:00,301.625251,348.164281,163.706687,0.000000,130.164873,0.350000,0.250000
2025-01-05 05:00:00,307.306911,353.209082,178.951515,0.000000,113.559338,0.350000,0.250000
2025-01-05 06:00:00,319.113903,357.475135,168.433157,0.000000,128.529412,0.350000,0.250000
2025-01-05 07:00:00,334.545525,348.523443,218.256522,58.234426,103.224687,0.650000,0.250000
2025-01-05 08:00:00,366.499600,338.435387,261.397366,114.366824,84.617230,0.650000,0.250000
2025-01-05 09:00:00,391.635765,298.567083,305.882343,169.831946,92.126895,0.650000,0.250000
