day_index,timestamp,hour,electric_load_kw,heat_load_kw,cooling_load_kw,pv_kw,wind_kw,buy_price_cny_per_kwh,sell_price_cny_per_kwh,chp_gas_kw,chp_electric_kw,chp_heat_kw,hp_electric_kw,hp_heat_kw,ac_heat_kw,ac_cooling_kw,ec_cooling_kw,ec_electric_kw,boiler_heat_kw,gas_kw,battery_kw,tes_kw,battery_energy_before_kwh,tes_energy_before_kwh,battery_energy_kwh,tes_energy_kwh,battery_soc,tes_soc,grid_import_kw,grid_export_kw,renewable_curtailed_kw,heat_dump_kw,electric_slack_kw,heat_slack_kw,cooling_slack_kw,electric_dump_kw,infeasible,action_correction_l1,electric_residual_kw,heat_residual_kw,cooling_residual_kw,grid_cost_cny,gas_cost_cny,wear_cost_cny,carbon_cost_cny,operating_cost_cny,emission_kg,constraint_penalty_cny,terminal_gap_kwh,terminal_penalty_cny,objective_cny,reward,action_raw_0,action_executed_0,action_raw_1,action_executed_1,action_raw_2,action_executed_2,action_raw_3,action_executed_3,action_raw_4,action_executed_4,decision_ms
0,2025-02-21 00:00:00,0,325.399495,304.817764,174.135466,0.0,139.705105,0.35,0.25,0.0,0.0,0.0,101.6059210896492,304.8177632689476,0.0,0.0,174.135466,43.5338665,7.310524097192683e-07,8.122804552436314e-07,-120.0,0.0,250.0,300.0,364.0,300.0,0.728,0.5,450.8341775896492,0.0,0,0.0,0,0,0,0,False,0.0,-1.4210854715202004e-14,0.0,0.0,157.7919621563772,2.2743852746821682e-07,3.5999999999999996,19.836703826941054,181.22866621075678,247.95879783676318,0.0,0.0,0.0,181.22866621075678,-0.18122866621075678,-1.0,-1.0,0.12895467877388,0.12895467877388,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.07404000007227296
0,2025-02-21 01:00:00,1,305.24223,319.194404,178.579639,0.0,109.403252,0.35,0.25,0.0,0.0,0.0,106.39813408255577,319.1944022476673,0.0,0.0,178.579639,44.64490975,1.7523327073831751e-06,1.947036341536861e-06,-90.52631578947368,0.0,364.0,300.0,450.0,300.0,0.9,0.5,437.4083376220295,0.0,0,0.0,0,0,0,0,False,0.24561403508771928,1.4210854715202004e-14,0.0,0.0,153.0929181677103,5.451701756303212e-07,2.7157894736842105,19.24596688652188,175.05467507308654,240.5745860815235,0.0,0.0,0.0,175.05467507308654,-0.17505467507308653,-1.0,-1.0,0.18220148980617523,0.18220148980617523,-1.0,-0.7543859649122807,0.0,0.0,-1.0,-1.0,0.03005899998242967
0,2025-02-21 02:00:00,2,332.147772,326.993449,188.3335,0.0,125.960606,0.35,0.25,0.0,0.0,0.0,108.99781689047813,326.9934506714344,0.0,0.0,188.3335,47.083375,0.0,0.0,0.0,0.0,450.0,300.0,450.0,300.0,0.9,0.5,362.2683578904781,0.0,0,1.6714344042156881e-06,0,0,0,0,False,0.0,-7.105427357601002e-15,0.0,0.0,126.79392526166733,0.0,0.0,15.939807747181039,142.73373300884836,199.247596839763,3.3428688084313766e-08,0.0,0.0,142.73373304227704,-0.14273373304227704,-1.0,-1.0,0.21108685433864594,0.21108685433864594,0.0,0.0,0.0,0.0,-1.0,-1.0,0.022195999918039888
0,2025-02-21 03:00:00,3,329.776097,352.76833,181.794252,0.0,131.537367,0.35,0.25,0.0,0.0,0.0,117.5894433259964,352.7683299779892,0.0,0.0,181.794252,45.448563,2.2010794964444358e-08,2.4456438849382618e-08,0.0,0.0,450.0,300.0,450.0,300.0,0.9,0.5,361.27673632599635,0.0,0,0.0,0,0,0,0,False,0.0,-2.1316282072803006e-14,0.0,0.0,126.44685771409871,6.847802877827134e-09,0.0,15.896176398735145,142.34303411968165,198.7022049841893,0.0,0.0,0.0,142.34303411968165,-0.14234303411968166,-1.0,-1.0,0.3065493702888489,0.3065493702888489,0.0,0.0,0.0,0.0,-1.0,-1.0,0.019658999917737674
0,2025-02-21 04:00:00,4,315.118206,346.834547,187.357444,0.0,151.288538,0.35,0.25,0.0,0.0,0.0,115.61151534318924,346.8345460295677,0.0,0.0,187.357444,46.839361,9.70432267877186e-07,1.0782580754190956e-06,0.0,0.0,450.0,300.0,450.0,300.0,0.9,0.5,326.28054434318926,0.0,0,0.0,0,0,0,0,False,0.0,5.684341886080802e-14,0.0,0.0,114.19819052011623,3.019122611173468e-07,0.0,14.35634396835246,128.55453479038096,179.45429960440575,0.0,0.0,0.0,128.55453479038096,-0.12855453479038095,-1.0,-1.0,0.28457239270210266,0.28457239270210266,0.0,0.0,0.0,0.0,-1.0,-1.0,0.01879499995993683
0,2025-02-21 05:00:00,5,311.428608,354.785014,186.194749,0.0,125.396243,0.35,0.25,0.0,0.0,0.0,118.26167196035385,354.78501588106155,0.0,0.0,186.194749,46.54868725,0.0,0.0,0.0,0.0,450.0,300.0,450.0,300.0,0.9,0.5,350.8427242103538,0.0,0,1.881061564290576e-06,0,0,0,0,False,0.0,0.0,0.0,0.0,122.79495347362383,0.0,0.0,15.43707986525557,138.2320333388794,192.9634983156946,3.762123128581152e-08,0.0,0.0,138.23203337650062,-0.1382320333765006,-1.0,-1.0,0.314018577337265,0.314018577337265,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0210919997698511
0,2025-02-21 06:00:00,6,314.858337,359.278089,174.822107,0.0,121.943246,0.35,0.25,0.0,0.0,0.0,119.75936383008957,359.2780914902687,0.0,0.0,174.822107,43.70552675,0.0,0.0,0.0,0.0,450.0,300.0,450.0,300.0,0.9,0.5,356.3799815800896,0.0,0,2.4902686845962307e-06,0,0,0,0,False,0.0,-7.105427357601002e-15,0.0,0.0,124.73299355303135,0.0,0.0,15.680719189523943,140.4137127425553,196.0089898690493,4.9805373691924616e-08,0.0,0.0,140.41371279236068,-0.14041371279236067,-1.0,-1.0,0.3306595981121063,0.3306595981121063,0.0,0.0,0.0,0.0,-1.0,-1.0,0.02013199991779402
0,2025-02-21 07:00:00,7,354.730991,344.018491,241.211078,74.269037,109.647796,0.65,0.25,0.0,0.0,0.0,114.67283070087433,344.018492102623,0.0,0.0,241.211078,60.3027695,0.0,0.0,0.0,0.0,450.0,300.0,450.0,300.0,0.9,0.5,345.7897582008743,0.0,0,1.1026230026800476e-06,0,0,0,0,False,0.0,-4.263256414560601e-14,0.0,0.0,224.7633428305683,0.0,0.0,15.214749360838471,239.97809219140677,190.18436701048088,2.2052460053600952e-08,0.0,0.0,239.97809221345923,-0.23997809221345923,-1.0,-1.0,0.2741425633430481,0.2741425633430481,0.0,0.0,0.0,0.0,-1.0,-1.0,0.016492000213474967
0,2025-02-21 08:00:00,8,369.455271,322.655133,261.893572,130.784841,115.276815,0.65,0.25,0.0,0.0,0.0,107.55171060562134,322.655131816864,0.0,0.0,261.893572,65.473393,1.1831359643110773e-06,1.314595515901197e-06,0.0,0.0,450.0,300.0,450.0,300.0,0.9,0.5,296.4187186056214,0.0,0,0.0,0,0,0,0,False,0.0,4.263256414560601e-14,0.0,0.0,192.6721670936539,3.680867444523352e-07,0.0,13.042423639680871,205.71459110142152,163.0302954960109,0.0,0.0,0.0,205.71459110142152,-0.2057145911014215,-1.0,-1.0,0.19501900672912598,0.19501900672912598,0.0,0.0,0.0,0.0,-1.0,-1.0,0.016411999240517616
0,2025-02-21 09:00:00,9,394.425827,314.155916,317.304758,201.863797,105.06459,0.65,0.25,0.0,0.0,0.0,104.71863806247711,314.15591418743134,0.0,0.0,317.304758,79.3261895,1.812568655168434e-06,2.013965172409371e-06,0.0,0.0,450.0,300.0,450.0,300.0,0.9,0.5,271.5422675624772,0.0,0,0.0,0,0,0,0,False,0.0,5.684341886080802e-14,0.0,0.0,176.50247391561018,5.63910248274624e-07,0.0,11.94785980497244,188.45033428449287,149.3482475621555,0.0,0.0,0.0,188.45033428449287,-0.18845033428449287,-1.0,-1.0,0.16354042291641235,0.16354042291641235,0.0,0.0,0.0,0.0,-1.0,-1.0,0.01662399972701678
